投诉编号,投诉品牌,投诉车系,投诉车型,问题简述_链接,问题简述,典型问题_链接,典型问题,典型问题_链接1,典型问题2,典型问题_链接3,典型问题4,投诉时间,投诉状态
513402,吉利汽车,帝豪GS,2016款 1.3T 自动 领尚型 优雅版,http://www.12365auto.com/zlts/20200824/513402.shtml,吉利帝豪GS低速时变速箱顿挫 油耗高,http://www.12365auto.com/zlts/172-1915-0-0-0-1_0-0-0-0-0-0-0-1.shtml,发动机,http://www.12365auto.com/zlts/172-1915-0-0-0-0_85-0-0-0-0-0-0-1.shtml,油耗高,http://www.12365auto.com/zlts/172-1915-0-0-0-0_19-0-0-0-0-0-0-1.shtml,顿挫,2020-08-24,信息审核
513400,东风标致,标致5008,2017款 350THP 精英版 7座,http://www.12365auto.com/zlts/20200824/513400.shtml,东风标致5008转向异响4S店维修后未解决,http://www.12365auto.com/zlts/130-2102-0-0-0-4_0-0-0-0-0-0-0-1.shtml,转向系统,http://www.12365auto.com/zlts/130-2102-0-0-0-0_59-0-0-0-0-0-0-1.shtml,异响,http://www.12365auto.com/zlts/130-2102-0-0-0-0_0-2-0-0-0-0-0-1.shtml,人员技术,2020-08-24,信息审核
513397,奇瑞汽车,瑞虎7,2016款 1.5T 手动 电商版,http://www.12365auto.com/zlts/20200824/513397.shtml,奇瑞瑞虎7离合器不回弹导致无法挂挡,http://www.12365auto.com/zlts/219-1973-0-0-0-3_0-0-0-0-0-0-0-1.shtml,离合器,http://www.12365auto.com/zlts/219-1973-0-0-0-0_267-0-0-0-0-0-0-1.shtml,离合器失效,,,2020-08-24,信息审核
513396,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,http://www.12365auto.com/zlts/20200824/513396.shtml,一汽大众探岳大灯透镜出现裂纹亮度不足,http://www.12365auto.com/zlts/141-2395-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/141-2395-0-0-0-0_82-0-0-0-0-0-0-1.shtml,车灯不亮,http://www.12365auto.com/zlts/141-2395-0-0-0-0_220-0-0-0-0-0-0-1.shtml,灯罩裂纹或变形,2020-08-24,信息审核
513395,中兴汽车,领主,2016款 2.5T 两驱 豪华型JE4D25E,http://www.12365auto.com/zlts/20200824/513395.shtml,中兴领主三元催化器破损厂家拒绝索赔,http://www.12365auto.com/zlts/265-1986-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/265-1986-0-0-0-0_54-0-0-0-0-0-0-1.shtml,三元催化器故障,http://www.12365auto.com/zlts/265-1986-0-0-0-0_0-0-0-0-1-0-0-1.shtml,其他,2020-08-24,信息审核
513392,一汽丰田,皇冠,2015款 2.0T 时尚版,http://www.12365auto.com/zlts/20200824/513392.shtml,一汽丰田皇冠方向盘掉皮希望处理	,http://www.12365auto.com/zlts/150-287-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/150-287-0-0-0-0_168-0-0-0-0-0-0-1.shtml,部件开裂,,,2020-08-24,信息审核
513389,广汽本田,锋范经典,2012款 1.5L 手动 舒适版,http://www.12365auto.com/zlts/20200824/513389.shtml,广汽本田锋范发动机仓内部件生锈要求解决,http://www.12365auto.com/zlts/118-29-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/118-29-0-0-0-0_79-0-0-0-0-0-0-1.shtml,车身生锈,,,2020-08-24,信息审核
513387,领克汽车,领克01,2017款 2.0T 自动 两驱 型 Pro,http://www.12365auto.com/zlts/20200824/513387.shtml,领克01天窗漏水导致电路故障希望处理,http://www.12365auto.com/zlts/467-2212-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/467-2212-0-0-0-0_90-0-0-0-0-0-0-1.shtml,天窗漏水,,,2020-08-24,信息审核
513384,上汽大众,凌渡,2015款 280TSI 手动 舒适版,http://www.12365auto.com/zlts/20200824/513384.shtml,上汽大众凌渡车内异味严重希望处理,http://www.12365auto.com/zlts/140-1554-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/140-1554-0-0-0-0_185-0-0-0-0-0-0-1.shtml,车内异味,,,2020-08-24,信息审核
513379,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质雅版,http://www.12365auto.com/zlts/20200824/513379.shtml,长安马自达昂克赛拉转向沉重4S店不予解决,http://www.12365auto.com/zlts/208-1470-0-0-0-4_0-0-0-0-0-0-0-1.shtml,转向系统,http://www.12365auto.com/zlts/208-1470-0-0-0-0_156-0-0-0-0-0-0-1.shtml,打方向沉重,http://www.12365auto.com/zlts/208-1470-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,2020-08-24,信息审核
